user_id,orig_row,M2ID,M2FAMNUM,answered
1260,6105,17884.0,120330.0,170
1261,866,11113.0,100467.0,189
1262,3688,14765.0,101925.0,176
1263,4260,15520.0,102229.0,179
1264,5569,17203.0,120718.0,182
1265,4179,15420.0,102183.0,25
1266,1419,11839.0,100757.0,188
1267,814,11048.0,100431.0,190
1268,2522,13233.0,101332.0,172
1269,4055,15253.0,120471.0,177
1270,6635,18592.0,120658.0,163
1271,1005,11297.0,100533.0,23
1272,3353,14304.0,110240.0,190
1273,4996,16467.0,120259.0,164
1274,4161,15393.0,102173.0,110
1275,3710,14793.0,101938.0,172
1276,1271,11646.0,100680.0,147
1277,3778,14889.0,110447.0,127
1278,3306,14242.0,110413.0,121
1279,86,10115.0,120605.0,19
1280,1108,11438.0,100590.0,175
1281,1638,12110.0,100879.0,151
1282,3919,15072.0,102053.0,131
1283,1008,11302.0,110096.0,178
1284,7029,19095.0,103678.0,176
1285,3208,14120.0,101695.0,152
1286,1351,11754.0,100723.0,160
1287,3244,14168.0,101709.0,156
1288,729,10926.0,100386.0,158
1289,1925,12475.0,120798.0,138
1290,511,10639.0,120683.0,130
1291,4053,15251.0,102117.0,21
1292,1514,11962.0,100812.0,181
1293,3200,14111.0,120539.0,131
1294,6532,18459.0,120631.0,188
1295,4237,15490.0,120598.0,178
1296,6274,18118.0,103266.0,22
1297,6919,18958.0,120207.0,21
1298,4342,15623.0,102274.0,173
1299,2310,12951.0,110162.0,176
1300,4277,15541.0,110472.0,126
1301,6848,18869.0,110512.0,175
1302,1601,12063.0,120686.0,174
1303,4719,16114.0,120325.0,154
1304,6653,18618.0,103476.0,102
1305,2796,13574.0,120613.0,117
1306,4325,15600.0,102266.0,186
1307,2492,13195.0,101317.0,171
1308,6662,18631.0,103482.0,26
1309,6180,17991.0,103212.0,159
1310,700,10887.0,100374.0,157
1311,5164,16672.0,102693.0,169
1312,2196,12807.0,110075.0,19
1313,588,10742.0,120028.0,174
1314,3546,14576.0,101858.0,172
1315,1662,12136.0,100889.0,180
1316,3607,14656.0,120004.0,179
1317,5886,17613.0,103068.0,170
1318,5346,16910.0,102786.0,134
1319,1379,11789.0,110121.0,162
1320,844,11087.0,100453.0,114
1321,3179,14081.0,101681.0,162
1322,1445,11874.0,100774.0,205
1323,451,10569.0,100241.0,27
1324,5107,16606.0,102669.0,25
1325,783,10999.0,120747.0,186
1326,138,10181.0,110449.0,175
1327,4486,15802.0,102351.0,23
1328,238,10310.0,100128.0,126
1329,2760,13530.0,120374.0,158
1330,6700,18683.0,110359.0,164
1331,1201,11559.0,110184.0,19
1332,5302,16856.0,120898.0,179
1333,939,11202.0,120754.0,169
1334,5368,16936.0,120610.0,175
1335,5497,17100.0,102863.0,138
1336,2490,13190.0,101315.0,176
1337,2803,13584.0,110194.0,184
1338,3418,14395.0,101799.0,20
1339,2054,12626.0,120177.0,164
1340,512,10641.0,100274.0,188
1341,1710,12201.0,100914.0,183
1342,4725,16120.0,110327.0,129
1343,4580,15926.0,120756.0,163
1344,6641,18599.0,103469.0,120
1345,5029,16509.0,120098.0,128
1346,4832,16253.0,120926.0,158
1347,4145,15373.0,102164.0,184
1348,1533,11983.0,110109.0,172
1349,1917,12465.0,101017.0,24
1350,1144,11488.0,100614.0,21
1351,3696,14775.0,101929.0,137
1352,6080,17853.0,120159.0,171
1353,833,11072.0,100444.0,185
1354,1406,11825.0,120194.0,164
1355,4291,15560.0,110210.0,167
1356,3291,14227.0,101737.0,186
1357,2047,12617.0,110145.0,173
1358,4446,15750.0,110323.0,186
1359,6696,18678.0,103504.0,137
1360,5936,17680.0,110442.0,186
1361,6923,18962.0,110470.0,179
1362,2288,12924.0,101212.0,183
1363,1780,12288.0,100952.0,181
1364,2085,12664.0,101103.0,193
1365,3097,13972.0,110260.0,179
1366,3231,14153.0,101704.0,175
1367,6167,17974.0,120666.0,179
1368,6052,17816.0,103150.0,168
1369,7101,19186.0,120914.0,120
1370,184,10241.0,120392.0,152
1371,5564,17197.0,120930.0,179
1372,31,10040.0,100018.0,177
1373,2731,13495.0,120204.0,170
1374,2679,13428.0,101420.0,136
1375,1200,11557.0,120230.0,178
1376,6568,18510.0,103425.0,160
1377,4741,16138.0,102487.0,180
1378,4066,15267.0,110440.0,172
1379,723,10919.0,120064.0,154
1380,2122,12711.0,120228.0,186
1381,3225,14145.0,101701.0,173
1382,5639,17288.0,102938.0,157
1383,2601,13330.0,120671.0,176
1384,6113,17894.0,120933.0,142
1385,6236,18063.0,103245.0,28
1386,1843,12373.0,100982.0,175
1387,2815,13597.0,120951.0,21
1388,3157,14054.0,101670.0,168
1389,1380,11790.0,100736.0,167
1390,3165,14063.0,101673.0,181
1391,4763,16165.0,110070.0,130
1392,4894,16336.0,102564.0,154
1393,2703,13461.0,110416.0,112
1394,7014,19076.0,103671.0,154
1395,5544,17167.0,102886.0,128
1396,6995,19054.0,103660.0,169
1397,4372,15659.0,102290.0,182
1398,3471,14472.0,101826.0,128
1399,3308,14244.0,110131.0,128
1400,1345,11744.0,100719.0,168
1401,2363,13022.0,101252.0,176
1402,4998,16469.0,110252.0,158
1403,899,11156.0,110065.0,139
1404,5632,17278.0,120331.0,166
1405,1311,11698.0,120854.0,169
1406,4032,15226.0,110303.0,183
1407,117,10153.0,120519.0,183
1408,5394,16969.0,102812.0,172
1409,3502,14512.0,110255.0,198
1410,1666,12142.0,100891.0,176
1411,1343,11742.0,120302.0,175
1412,4613,15968.0,102412.0,28
1413,5931,17675.0,103091.0,171
1414,787,11006.0,110026.0,179
