Strategy,categorical_acc,ordinal_acc,prediction_consistency_acc,ordinal_ranking_acc,mae
ordered,0.4782229959964752,0.8536585569381714,0.3911149799823761,0.6403796774048053,0.6837978959083557
unordered,0.46689894795417786,0.8484320640563965,0.3754355311393738,0.6254551844138699,0.7047038078308105
linear_decay,0.48083624243736267,0.849303126335144,0.3841463327407837,0.6429377005164844,0.6872822046279907
adjacent_weighted,0.46864110231399536,0.852787435054779,0.37979093194007874,0.637106444143575,0.6951219439506531
