Strategy,distribution_consistency,ordinal_ranking_acc,mae,qwk,ordinal_acc,categorical_acc,prediction_consistency_acc
ordered,0.6586384941736165,0.6403796774048053,0.6837978959083557,0.6234623023510031,0.8536585569381714,0.4782229959964752,0.3911149799823761
unordered,0.6568572432425794,0.6254551844138699,0.7047038078308105,0.6103883258772331,0.8484320640563965,0.46689894795417786,0.3754355311393738
linear_decay,0.6602397919583819,0.6429377005164844,0.6872822046279907,0.6208788699808214,0.849303126335144,0.48083624243736267,0.3841463327407837
adjacent_weighted,0.6586250923184568,0.637106444143575,0.6951219439506531,0.6204225674870525,0.852787435054779,0.46864110231399536,0.37979093194007874
