Strategy,categorical_acc,ordinal_acc,prediction_consistency_acc,ordinal_ranking_acc,mae
ordered,0.46341463923454285,0.849303126335144,0.3728223145008087,0.6362130701793256,0.7020906209945679
unordered,0.46864110231399536,0.845818817615509,0.3763066232204437,0.6283172974995861,0.7047038078308105
linear_decay,0.4799651503562927,0.8588849902153015,0.3893728256225586,0.643647225463471,0.6768292784690857
adjacent_weighted,0.47909408807754517,0.8597561120986938,0.3858884871006012,0.640443474160023,0.6777003407478333
