Strategy,categorical_acc,ordinal_acc,prediction_consistency_acc,ordinal_ranking_acc,mae
ordered,0.22735191881656647,0.7752613425254822,0.22386759519577026,0.23533757271899103,1.0034843683242798
unordered,0.22038327157497406,0.7439024448394775,0.2160278707742691,0.23436736486866114,1.0374563932418823
linear_decay,0.2142857164144516,0.7421602606773376,0.20818814635276794,0.2232736931476559,1.0452961921691895
adjacent_weighted,0.21689894795417786,0.7421602606773376,0.20993031561374664,0.23569141973416632,1.0435539484024048
