Strategy,ordinal_acc,categorical_acc,distribution_consistency,qwk,mae,prediction_consistency_acc,ordinal_ranking_acc
ordered,0.8484320640563965,0.4660278856754303,0.6584720664271494,0.6140279421483793,0.7012194991111755,0.38327527046203613,0.6388670456469538
unordered,0.8484320640563965,0.46341463923454285,0.6564872307956011,0.6089442033949912,0.7081881761550903,0.3745644688606262,0.6250808278090154
linear_decay,0.8536585569381714,0.4712543487548828,0.6603128069473061,0.6180395136778116,0.6951219439506531,0.37804877758026123,0.641745400892931
adjacent_weighted,0.8510453104972839,0.46515679359436035,0.6585406016181986,0.6156269499444503,0.7020906209945679,0.3754355311393738,0.6373036813451052
